title,cluster_number
u.k. money market offered early assistance,0
belgolux trade moves into surplus in 1986,0
spain raises banks' reserve requirement,0
india and japan to discuss iron ore prices,0
japanese banks seen agreeing debt risk scheme,0
japanese ministry denies export quota for daihatsu,0
csr ltd says it will sell head office buildings,0
iran reports heavy fighting in iraqi kurdistan,0
rank organisation says it launching 100 mln stg commercial paper program,2
taiwan foreign exchange reserves hit new high,0
mitsui and co to issue eurodollar warrant bonds,0
"belgian ecu coin issue priced, sale date set",0
u.k. money market given 17 mln stg early help,2
bank of communications plans 200 mln h.k. dlr cd,2
rank organisation has 100 mln stg cp program,2
firs slightly raises ec beet sugar output estimate,0
bank of ceylon to adopt new policies,0
papua new guinea plans resources investment agency,0
nigerian currency firms at latest auction,0
canada zero issues canadian dlr zero coupon bond,0
u.s. tells japan to do more to cut trade surplus,0
"taiwan buys 60,000 tonnes of u.s. maize",0
bank of france sells 11.05 billion francs of treasury tap stock - official,0
japan's chamber of commerce urges fiscal spending,0
japanese capital investment seen sluggish in 1987,0
gulf arab finance ministers to meet in abu dhabi,0
japan ruling party fixes date of budget hearing,0
bank of france sells tap stock,0
german economic outlook seen fairly bright,0
creditor banks may buy into singapore coffee firm,0
"u.k. 4th qtr trade deficit 2.6 billion stg, current account deficit 760 mln - official",2
strong earthquake reported in northern chile,0
economic spotlight - polish sanctions,0
u.k. fourth quarter trade deficit 2.6 billion stg,0
belgian wholesale prices fall in january,0
cargill u.k. strike talks postponed till monday,0
"french intervention rate cut likely, dealers say",0
hong kong cd market shuts down after new issue,0
bundesbank says it leaves credit policies unchanged,0
u.k. grain/potato futures volume down in february,0
bundesbank leaves credit policies unchanged,0
mitsui and co to issue eurodollar warrant bonds,0
bank of japan to sell 500 billion in bills,0
"argentina seeks new debt deadlines, official says",0
"turkey to import 100,000 tonnes of crystal sugar",0
u.k. money market given further small assistance,0
matsushita electric trading issues warrant bond,0
gunma bank issues 50 mln dlr convertible eurobond,2
"gm   laying off 5,500 at two plants",0
ice unchanged at soviet oil port of ventspils,0
hughes tool  seeks chief operating officer,0
swiss offers new series of money market paper,0
egyptian central bank dollar rate unchanged,0
no mines damage reported after chile tremor,0
tanzanian railways secure 25.6 mln dlrs aid,2
mitsui and co eurobonds formally launched,0
baker international corp sues hughes tool seeking merger completion,0
carter hawley hale stores february sales up 7.6 pct,0
usair group rejects trans world airlines takeover bid,0
early march opec output seen well below ceiling,0
bethlehem  has investigated chapter 11,0
city of quebec issues 40 mln canadian dlr eurobond,2
carter hawley hale  february sales rise,0
baker  sues to force hughes  merger,0
spain deregulates bank deposit interest rates,0
usair  rejects twa  takeover bid,0
payless cashways inc  february sales rise,0
sterivet  to develop new horse drug,0
u.s. expansion threatened - congressional report,0
u.s. first time jobless claims fall in week,0
jaguar sees strong growth in new model sales,0
occidental petroleum common stock offering raised to 36 mln shares,2
ccc accepts bonus bid on wheat flour to iraq,0
"diamond shamrock raises crude posted prices one dlr, effective march 4, wti now 17.00 dlrs/bbl",0
nord resources corp  4th qtr net,1
no quake damage at chuquicamata - mine spokesman,0
orbit increases oil and gas reserve values,0
ccc accepts bonus bid on semolina to egypt,0
french cge group likely to be privatised in may,0
five groups apply to buy french telephone group,0
speaker seeking support for u.s. tax increases,0
blizzard closes bosphorus,0
japan fund  seekers confident of financing,0
k mart corp february sales up 13.1 pct on comparable store basis,0
tanzanian railways secure 25.6 mln dlrs aid,2
pegasus gold inc  3rd qtr dec 31 net,1
stop and shop's  bradlees february sales up,0
"gm laying off 5,500 at two michigan plants",0
mitsubishi motor/america february sales rise,0
year net,0
supermarkets general  february sales rise,0
"u.k. money market given help, offered facilities",0
supermarkets general  february sales rise,0
e.f. hutton  starts purolator  bid,0
"yeutter puts currency burden on taiwan, korea",0
princeville development corp  year loss,0
orange-co  holder raises stake,0
horizon corp  4th qtr net,1
year,0
french farmers strongly criticise ec milk pact,0
ibj establishes 200 mln stg cd programme,2
mobil's montgomery ward and co february sales up 12.7 pct on comparable store basis,0
equatorial communications co  4th qtr loss,1
iraq says it crushes new iranian basra offensive,0
international thomson organisation ltd year shr 33p vs 38p,0
enzon  says drug treats disease,0
mci communications calls for immediate deregulation of att,0
f.w. woolworth co february sales increase 11.3 pct,0
trimedyne  to spin off stake in unit,3
k mart  february sales up 8.2 pct,0
heck's inc to release news shortly .,0
casey's general stores inc  3rd qtr jan 31,1
j.c. penney february store and catalog sales up 5.3 pct,0
french free market cereal export bids detailed,0
occidental  offers over 37 mln shares,2
diamond shamrock  raises crude oil postings,0
oak hill sportswear corp  4th qtr net,1
oak industries inc  4th qtr loss,1
regis corp  regular dividend set,0
jamesway  february sales up 13 pct,0
k mart  comparable-store february sales up,0
congress may curb u.s. aid to development banks,0
equatorial  signs pact with contel unit,3
mannesmann seeks stake in u.s. firm,0
american int'l group inc  4th qtr net,1
systems for health care in one-for-50 split,0
first executive corp  gives unit funds,3
sets initial u.s. offering,0
belgium to issue 150 billion franc state loan,0
may department stores co february sales rise 15 pct,0
royal dutch/shell u.s. earnings sharply lower,0
j.c. penney  february sales 5.3 pct,0
f.w. woolworth  february sales increase,0
bankers welcome spanish reserve requirement hike,0
gambro ab  1986 year,0
klm load factor higher in february,0
transportation agency gives final okay for us air pacific southwest acquisition,0
ec dairy output accord paves way for more reform,0
federated department stores february sales up 9.6 pct,0
mercantile stores  february sales up 6.9 pct,0
mobil's montgomery ward february sales up,0
mci  seeks immediate att  deregulation,0
s africa mine managers face charges in disaster,0
western canada hurt by international forces,0
ames department stores  february sales up,0
amgen  files to offer two mln shares,2
kiechle sees positive aspects in ec milk accord,0
congress eyes loans that aid u.s. competitors,0
american software  sets stock split,0
comdata  in merger agreement,0
noel industries  board approves financing,0
best buy  february sales gain,0
federated department  february sales rise,0
morton-thiokol  lists on s and p 500,0
circuit city stores  february sales rise,0
carson pirie scott  february sales up,0
soybean group head urges usda action on loan,0
nissan motor issues 35 billion yen eurobond,0
year net,0
praxis files for initial public offering,0
consolidated stores  buys warehouse space,0
american software inc  3rd qtr jan 31 net,1
sterivet  gets support for drug project,0
italian treasury details new bill offer,0
no soviet wheat bonus talk planned for meeting,0
exim bank unveils risk related fees,0
bankamerica  to sell german banking unit,3
french official reserves 375.95 billion francs end jan (421.00 billion end dec) - official,0
copley properties inc  4th qtr net,1
philips to jointly produce new laser video player,0
unitil corp  4th qtr net,1
ryder  buys british caledonian unit,3
wal-mart stores february sales up 44 pct,0
may  february retail sales increase,0
"kidder peabody analyst raises estimates, recommendation on pepsico",0
wal-mart stores  february sales up 44 pct,0
trelleborg take larger slice of boliden,0
polaroid  up on reaffirmed opinion,0
swedish match ab  1986 year,0
french official reserves fall sharply in january,0
mars stores  february sales off 1.6 pct,0
sl industries inc  2nd qtr jan 31 net,1
dayton hudson corp february sales rise 10.8 pct on comparable store basis,0
general refractories  to sell operations,0
brazil has no set coffee export targets - ibc,0
pepsico  upgraded by kidder peabody,0
britain seems set for new cash row with ec,0
shad sees progress on insider trading,0
world bank issues 232 mln u.s. dlr finance package,2
neeco  share offering under way,0
opec says february output under ceiling,0
canadian imperial bank of commerce 1st qtr share basic 61 cts vs 64 cts,1
sears roebuck and co february sales up 4.9 pct,0
heck's inc files for chapter 11 brankruptcy,0
white house says it opposed to tax increase as unnecessary,0
perkin-elmer  acquires high tech firm,0
heck's  files for chapter 11 bankruptcy,0
u.s. okays usair  pacific southwest purchase,0
bolt beranek and newman  unit sells system,3
mci  president sees profit improvement,0
p.a.m. transportation  president resigns,0
finnish taxation major issue in election campaign,0
national gypsum co 4th qtr net,1
salomon sells 200 mln stg mortgages-backed notes,2
sears  february sales up 4.9 pct,0
zayre corp 4th qtr shr 73 cts vs 60 cts,1
(east asiatic co),0
tokheim  unit in marketing agreement,3
general videotex adds investment  service,0
white house says tax increase not needed,0
zayre corp february sales up 25.7 pct,0
best products  february sales off 12.7 pct,0
pirelli uk int finance issues 50 mln stg eurobond,2
dayton hudson  february sales rise,0
u.s. house speaker wright says tax rise needed to cut budget deficit in 1988,0
texas air corp's continental airlines february load factor falls,0
"besicorp, lcp chemicals in cogeneration pact",0
nine mths jan 31 net,0
1st qtr,1
"satellite auction unit march, april bookings up",3
to make acquisition,0
ags computer  unit gets ibm license,3
conchemco inc  sets quarterly,0
dst systems inc  regular payout set,0
fed not expected to take money market action,0
wright says tax rise needed to cut u.s. deficit,0
brown group inc 4th qtr shr 77 cts vs 76 cts,1
pirelli uk int finance issues 50 mln stg eurobond,2
regal international  ups bell  bid,0
azp group  unit redeems preferred stock,3
duke power  sells 10-year mortgage bonds,0
eqk green acres lp  reports cash flow,0
eqk green acres lp  raises quarterly,0
enviropact  adds two facilities,0
ogden  device approved by u.s. for testing,0
mercantile stores co inc 4th qtr shr 3.26 dlrs vs 3.17 dlrs,1
winland electronics inc 4th qtr loss,1
antibiotics in feed aid deadly bacteria: study,0
ec rejects all free market wheat export  offers at weekly tender - traders,0
great american issues 15 billion yen eurobond,0
"ec awards 123,000 tonnes barley export  licences at 138.75 ecus per tonne - traders",0
french cereal exports through rouen fall,0
national convenience  to have 3rd qtr loss,1
"marathon raises crude posted prices 50 cts a bbl, effective today, wti at 17 dlrs/bbl.",0
report due on oil imports and national security,0
"chrysler sets three-for-two stock split, raises dividend",0
time management systems  to get infusion,0
u.s. commerce dept's ortner says yen is 10 or 15 pct undervalued,0
continental air february load factor falls,0
international lease finance  leases jets,0
u.s. commerce dept's  ortner says dollar fairly priced against european currencies,0
brown group inc  4th qtr jan 31 net,1
"ec awards export licences for 25,000  tonnes maize - paris trade.",0
salomon  names rosenfeld to new post,0
sapporo breweries issues five year sfr notes,0
"zambian late 1986 copper output up, sales down",0
"bad weather closes alexandria port, oil terminal",0
pegasus gold inc  4th qtr net,1
aceto  extends stock repurchase program,0
u.s. commerce's ortner says yen undervalued,0
"ec rejects wheat export bids, grants barley",0
zayre  february sales up 25.7 pct,0
corning glass works  unit transfers stock,3
zayre corp  4th qtr jan 31 net,1
farmers concerned about british sugar ownership,0
zayre  plans more store openings in 1987,0
"dutch growth likely to slow, jobless rise in 1987",0
"chrysler  sets stock split, higher dividend",0
paribas shares to be quoted on main paris market,0
great american issues 15 billion yen eurobond,0
twa  gets approval for london route,0
banco santander to buy west germany's cc-bank,0
canadian imperial sees lower loan losses,0
lowe's  february sales up seven pct,0
mercantile stores co inc  4th qtr net,1
india bought at least eight cargoes sugar--trade,0
unitel video shareholder proposes possible sale or liquidation of company,0
ross stores february same-store sales flat,0
telematics in initial public offering,0
tokheim corp  enters joint venture,0
allegheny power system inc  sets payout,0
4th qtr net,1
houston oil royalty trust  payout lower,0
jutland telephone issues 75 mln sfr 10 year bond,2
sapporo breweries issues five year sfr notes,0
engelhard corp sets three for two stock split and raises quarterly,0
paris trade details ec grain tender result,0
ericsson's u.s. unit wins 1.4 mln dlr contract,2
holder proposes unitel  sale or liquidation,0
huges tool company says baker international merger plan not terminated,0
royal dutch/shell group of cos 4th qtr net,1
u.s. house speaker sees action on fslic funding,0
world grain trade recovery may be underway,0
investment firm boosts purolator  stake,0
aetna  to sell canadian operations,0
nppc delegates approve disease and drug programs,0
southern mineral corp  4th qtr loss,1
bank of england resists pressure for rate cut,0
baldrige says u.s. may retaliate on kansai,0
engelhard corp  sets stock split,0
egyptian 1986 crude oil output down on 1985,0
traders detail irish intervention barley tender,0
merrill lynch  partnership fully subscribed,0
h and h oil tool co  4th qtr loss,1
chrysler  overseas unit redeeming debentures,3
cb and t financial corp  year net,0
amoskeag bank  to acquire entrepo,0
washington national corp  votes dividend,0
kaines sells jordan two cargoes of white sugar,0
community bank system  buys nichols bank,0
eli lilly  sues int'l pharmaceutical,0
polish trade official calls for freer market,0
taihei kogyo issues 40 mln sfr five year notes,2
eastman kodak acquires 18.7 pct interest in enzon inc,0
euratom issues 50 mln ecu bond,2
"turkey seeking 100,000 tonnes sugar - trade",0
shad favors shortening disclosure period,0
alcan  unit begins preferred share offer,3
corrected - pegasus gold inc 4th qtr net,1
mfs multimarket  initial offering underway,0
hughes tool  says baker  merger alive,0
aequitron medical inc  3rd qtr loss,1
lowe's cos inc  4th qtr jan 31 net,1
shoe-town  february sales up 21.8 pct,0
tekelec  sets pact with british telecom,0
spanish metal workers reject 1987 wage offer,0
france to sell stake in societe generale unit,3
texas air corp  unit files for debt offer,3
midland  sets stock split,0
prudential insurance year earnings,0
first interstate  files for preferred offer,0
bp capital bv plans dual-currency bond issue,0
fed's johnson says price stability critical for non-inflationary expansion,0
ec opens special rebate for maize - paris trade,0
aequitron  sees 4th qtr charge,1
big b inc  4th qtr jan 31 net,1
pakistan complains about afghan air raids,0
wilshire  chief named to jacobs  board,0
february u.s. retail sales not sign of upturn,0
quartz engineering and materials  1st qtr,1
kodak  buys stake in enzon,0
gecc issues 75 mln australian dlr eurobond,2
gemcraft inc  year net,0
brown-forman  files 200 mln dlr debt offer,2
applied solar energy corp  1st qtr net,1
pacific nuclear systems in  4th qtr loss,1
witco  to offer convertible debentures,0
fed's johnson stresses price stability,0
anglo american gold investment co ltd,0
swiss give argentina credit for nuclear plant,0
harris cuts triad systems  stake to 18 pct,0
bahrain passes decree to set up stock exchange,0
diamond-bathurst  says furnace explodes,0
"allis-chalmers  on s/p creditwatch, developing",0
datatmetrics corp  wins army contract,0
u.s. treasury says no comment on yen value,0
royal trust plans no brokerage unit,3
french agricultural bank issues 300 mln franc bond,2
cadbury requests stock exchange enquiry,0
idea inc  to buy private firm,0
firstier  names new chief executive,0
france's fsgt issues 1.7 billion franc bond,0
interstate bakeries  signs pact,0
proposed offerings recently filed with the sec,0
beverly enterprises  debt lowered by s/p,0
ducommun inc  sells division,0
hooper holmes sherlock inc  4th qtr net,1
italy's sme in venture talks with foreign firms,0
midway air  february load factor off,0
texon energy  in talks on acquisition,0
twa febrfuary load factor rises to 56.5 pct from 53.1 pct year ago,0
allied  affiliate restates loss larger,0
amrep corp  3rd qtr jan 31 net,1
u.s. treasury official promises vaccine aid plan,0
signs stock option agreement,0
ici  sees growth in pharmaceuticals,0
"safecard services  sets split, ups payout",0
wilton enterprises inc  2nd qtr jan 31 net,1
rotterdam port subsidy to end july 1 - minister,0
twa  february load factor rises,0
s.a.y. to take 3rd qtr loss from sale,1
delta air lines february load factor falls to 54.1 pct from 59.9 pct,0
nyse examines heck's  listing status,0
phelps dodge  files for offering,0
sonesta international hotels corp  4th qtr,1
paradyne  facing criminal charges,0
orient-express  to sell five properties,0
delta air  february load factor falls,0
1st qtr jan 31 net,1
ual inc 's united airlines adds flights,0
unicorp american  acquisition advances,0
first eastern corp  completes acquisition,0
african development bank opens morocco office,0
bishop graphics  completes store sale,0
striking brazilian seamen hold pay talks,0
fed's johnson says dollar is very close to appropriate exchange rate level,0
fed's johnson warns u.s. banks against excess rigidity in ldc debt talks,0
meridian diagnostics  has typhus test,0
fed's johnson sees risks but no immediate danger in corporate debt load,0
mediq  to spin off financial services unit,3
brown group inc  votes regular dividend,0
blocker energy corp  year net,0
"hitk  adds nipon, murdoch to clients",0
ltx corp  2nd qtr jan 31 loss,1
yeutter says u.s. budget deficit reduction key to trade deficit solution,0
calprop corp  4th qtr net,1
sis corp  year net,0
amoskeag co  sets quarterly,0
medtronic inc  sets quarterly,0
"canada 91-day t-bills average 7.29 pct, making bank rate 7.54 pct",0
scitex corp  4th qtr loss,1
energy optics to develop range-finder for robot,0
stanley works  makes acquisitions,0
nyse sells 17 nyfe seats,0
anitec image technology corp  sets payout,0
green mountain power corp  sets quarterly,0
dual-lite inc  sets quarterly,0
fed's johnson warns u.s. banks on ldc rigidity,0
science management corp  4th qtr oper net,1
fed's johnson sees risks in debt load growth,0
yeutter says budget cut key to better u.s. trade,0
carmel container systems ltd year oper net,0
"new currency problem seen among u.s, europe, japan",0
world bank head says brazil moratorium temporary,0
american home  unit to get rights to drug,3
tandem computers  sees higher net,0
fed's johnson says he does not see increasing pressure on interest rates,0
australia attacks u.s. gatt farm rules exemption,0
sets initial offer,0
manor care  names new chairman,0
vw expects further fall in u.s. sales in 1987,0
freeport-mcmoran gold  in joint venture,0
haughey to seek ec advice on irish debt,0
first union  to buy florida bank,0
oppenheimer raises nwa  earnings estimate,0
house 0/92 farm proposal seen sparking debate,0
penney  to sell telemarketing services,0
zehntel  files for debt offering,0
yellow freight  sees lower 1st qtr net,1
nova subsidiary raises u.s. polyethylene prices,0
gm  closing two plants temporarily,0
bankers trust  sells equity contract notes,0
moulinex stake sold to some 50 institutions,0
talking point/piedmont,0
baker int'l  hopes to complete merger,0
lucky stores inc reinstates quarterly dividend at 12.5 cts per share,0
eastern airlines  february load factor up,0
homestead financial  ups cash dividend,0
electro-sensors inc  year oper net,0
trw  promises to correct contract practices,0
"china adds, cancels wheat commitments - usda",0
opec president says output well below ceiling,0
fed's johnson sees interest rates stable,0
lucky stores inc  reinstates quarterly div,0
carmel container systems ltd year oper net,0
u.s house leader urges farm credit recue caution,0
bill proposed on international debt facility,0
cuban cattle threatened by drought,0
u.s. to set orange juice duties monday,0
longview fibre co  quarterly dividend,0
calny  director resigns over lawsuit,0
bei holdings ltd  1st qtr jan 31 net,1
endevco  agrees to buy mississippi pipeline,0
norfolk southern  completes coal purchase,0
atlantic city electric co  sets payout,0
kemper corp  regular payout set,0
ffb  sets initial quarterly dividend,0
"gm  to offer airbags, wants rules relaxed",0
radtech  board removes chairman,0
union carbide says 1986 long-term debt was 3.06 billion dlrs vs 1.71 billion in 1985,0
union carbide says operating profits for 4th qtr were 181 mln dlrs vs loss three mln dlrs,2
money market fund assets rose 552.5 mln dlrs in latest week to 237.46 billion,2
toronto dominion plans green line announcement,0
combined internmational  sees strong 1987,0
canada dlr driven by foreign buyers - wilson,0
ford  credit unit sells notes at 6.95 pct,3
sumitomo trust sells cd notes at 7.28 pct,0
chartwell group ltd  4th qtr net,1
pitt-des moines inc  to acquire steel unit,3
giant bay  details gordon lake deposit,0
alltel  debentures yield 8.90 pct,0
evans/sutherland  files for debt offering,0
manor care inc  chairman resigns,0
nipsco  outlays to be internal funds,0
atlantic city electric  to redeem stock,0
consensus builds for world agricultural reform,0
northgate  names new president,0
rexcom  to acquire marketing firm,0
"ascs buys peanut products, veg oil/shortening",0
general refractories co  4th qtr net,1
federated department stores  gets officers,0
venezuela will reprogram six billion dlrs in debt,0
moody's may downgrade duquesne light co's two billion dlrs of debt securities,0
house 0/92 farm plan markup delayed till tuesday,0
pacific southwest airlines  load factor,0
farm credit rescue caution urged by house leader,0
union carbide  says long term debt rises,0
first commercial bancorp  4th qtr loss,1
eurotunnel to offer choice of investments,0
cabot medical  has laser surgery accessory,0
analyst to start money management firm,0
harcourt brace jovanovich inc  4th qtr net,1
lone star agrees to buy concrete operations,0
shell francaise returns to profit in 1986,0
"brazil suspends import of 500,000 tonnes maize",0
fairmount chemical co inc  4th qtr loss,1
vms  hotel  approves 19.4 mln dlr loan,2
profit technology  to make lotus program,0
humana inc  regular dividend,0
"u.s. commercial paper falls 1.27 billion dlrs in feb 25 week, fed says",0
"n.y. business loans rise 523 mln dlrs in feb 25 week, fed says",2
edison brothers stores  february sales up,0
vms realty partners units commit to loans,0
nppc elects new president,0
mitel  awards selling rights to two firms,0
financial corp  unit buys branches,3
"pork delegates vote on farm bill, farm credit",0
confidence in opec firms u.s. energy futures,0
twa  pilots welcome bid for usair,0
gm  gets 61.1 mln dlr navy contract,2
"treasury says only reagan, baker speak on dlr",0
great american first savings  offers notes,0
ge  gets 42.7 mln dlr army contract,2
mnx  completed share offering,0
usda comments on export sales,0
gen dynamics  gets air force contracts,0
fairfield communities inc  10 mos dec 31,0
carver corp  4th qtr net,1
inter-city gas corp 4th qtr shr 36 cts vs 68 cts,1
computer power inc  reports record orders,0
"unicorp , lincoln in definitve pact",0
moody's may downgrade duquesne light  debt,0
westinghouse electric corp  moving unit,3
"u.s. m-1 money supply rises 1.9 billion dlrs in feb 23 week, fed says",0
"u.s. bank discount borrowings average 233 mln dlrs a day in march 4 week, fed says",2
coffee fall not seen affecting colombia's debt,0
u.s. m-1 money supply rises 1.9 billion dlrs,0
hunt building corp gets navy contract,0
humana  declares shareholders rights plan,0
fremont general corp  4th qtr oper net,1
riverbend  begins trading on amex,0
alaska air group  offers stock,0
great western financial  unit buys banks,3
hughes  changes stance on merger after suit,0
"armtek  sells tire, truck tire business",0
bay state gas  preferred upgraded by s/p,0
elxsi ltd  4th qtr loss,1
year loss,0
ferc issues take-or-pay gas policy plan,0
national medical  opens hospitals,0
times mirror co  quarterly dividend,0
inter-city gas corp  4th qtr net,1
brown transport co inc  4th qtr net,1
hexcel corp  plans new plant,0
first federal  buys back capital notes,0
gm  stock buyback won't affect s/p ratings,0
metro mobile cts inc  first qtr loss,1
endotronics  to cut workforce by 33 pct,0
year net,0
pesch unit seeks balance of republic health,3
spar sees sees strong five-year growth,0
wright says democrats favorable to tax hike,0
chesapeake utilities corp  regular div,0
meatpackers reject occidental  unit offer,3
swift independent packing co  1st qtr net,1
chemlawn says it rejects 27 dlrs per share tender offer from waste management,0
usg  debentures yield 8.77 pct,0
"france, yugoslavia commission to boost trade",0
chemlawn  rejects waste's  offer,0
first toronto issuing debenture to dutch parent,0
garn fears run on savings and loan deposits,0
brazilian finance minister extends trip to japan,0
(cambior inc) five mths dec 31 net,0
conagra  to acquire monfort,0
gould  registers to offer preferred,0
rostenkowski says tax hike tough without reagan,0
house 0/92 plan seen scaled-back to 1987 wheat,0
arizona appetitio's  to sell franchise,0
tcw convertible securities  sold stock,0
favored trade status for moscow still opposed,0
mcdonnell douglas  not approached by pesch,0
paradyne  pleads guilty to criminal charge,0
interest in options stirred by u.s. farm plans,0
south african firm to continue tests,0
cemdac goes out of business,0
greece repeats it can decide on aegean drilling,0
nca corp  4th qtr loss,1
biomedical dynamics corp  4th qtr net,1
santa fe southern pacific appeals merger ruling,0
brazil debt seen partner to hard sell tactics,0
iea says opec february crude output 16.1 mln bpd,2
icn  subject of class actions,0
u.s. senate group urges subsidies for ussr,0
administration moves to free rest of contra aid,0
"enfield corp plans notes, preferred issue",0
holiday  unit sells notes and debentures,3
wichita  to buy fountain oil,0
argentine inflation rose 6.5 pct in february,0
pemex lowers february far east crude oil prices,0
n.z. december quarter retail sales fall 13.2 pct,0
reph acquisition to negotiate pesch merger bid,0
royal trust plans 154.7 mln dlr share issue,2
"hunt group has comdata stake, seeks influence",0
argentina-brazil trade jumped 90 pct in 1986,0
nyse members vote to lift limit on penalties,0
sia to appeal fed ruling on commercial paper,0
santa fe southern pacific appeals merger ruling,0
e.a. viner holdings ltd  4th qtr loss,1
carpet firm unit cuts allied products stake,3
world bank president expects brazilian debt plan,0
talks fail to end brazilian seamen's strike,0
shearson has 5.4 pct of chicago milwaukee,0
viner  viable after heck's  move,0
italy expresses willingness to support brazil,0
twa  sues usair  over poison pill,0
proposed offerings recently filed with the sec,0
year net,0
raises quarterly dividend,0
mexico suspends overseas coffee sales,0
group boosts scandinavia fund  stake,0
offshore investment firm ups france fund stake,0
costa rica optimistic about reforming ico,0
"u.s. money growth slows sharply, economists say",0
ecuador's consumer prices rise 2.5 pct in february,0
national opposition ahead in n.z. opinion poll,0
west german fishmeal imports highest in 15 years,0
tpa of america inc  4th qtr loss,1
silver state mining  sees production rise,0
mcgrath rentcorp  sees net rising,0
silver state mining corp  4th qtr net,1
sizzler restaurants international inc  net,0
brazil's funaro wins few promises on europe trip,0
mcandrews and forbes are offering 18.50 dlrs per share for revlon stock,0
u.k. money market deficit revised to 550 mln stg,2
donegal group inc  year net,0
peter miller apparel group 3rd qtr jan 31 loss,1
krelitz industries inc  3rd qtr net,1
donegal  projects full year results,0
macandrews and forbes holdings bids for revlon,0
electrolux and gillette in joint venture,0
hog and cattle slaughter guesstimates,0
talman home federal preferred offering starts,0
borealis in gold exploration pact with faraway,0
rapid-american corp unit pursues fraud suit,3
u.k. money market gets 350 mln stg afternoon help,2
imre  sells stock to european institutions,0
instrumentarium acquires nokia subsidiary,0
fuqua industries inc  sets quarterly,0
year dec 28 net,0
engineered support  chairman to retire,0
"dome petroleum reaffirms dome mines stake for sale at right price, spokesman says",0
commonwealth mortgage  buys armonk firm,0
raises dividend,0
permian  raises crude prices,0
postmasters  listed on nasdaq,0
american stores co 4th qtr shr 1.57 dlrs vs 1.60 dlrs,1
att proposes replacing rate of return regulation with new simplified rules,0
initial offering starts,0
central sprinkler corp  1st qtr jan 31 net,1
raises dividend,0
pace membership  buys back notes,0
year net,0
u.k. officials study salmonella/calf feed link,0
"canada rules u.s. corn injuring canadian farmers, upholds duty",0
dome repeats dome mines stake for sale,0
att  proposes new simplified regulations,0
cba novel australian dlr issues upped to 125 mln,2
"canada rules u.s. corn injuring canadian  farmers, upholds duty",0
u.s. treasury's baker says paris pact only a start to greater cooperation,0
new dutch special advances announced at 5.3 pct,0
selecterm inc  4th qtr loss,1
colonial municipal trust sets initial offering,0
stone container  completes waiting period,0
fisher transportation files for initial offering,0
ico quota talks failure paralyse hamburg market,0
toronto dominion bank buys seat on toronto stock exchange,0
residential mortgage investments inc payout,0
"southwest , stone  comply for merger",0
state bank of south australia issues novel bond,0
okc limited partnership  sets lower payout,0
rapidtech systems inc buys patent rights,0
biotech research laboratories inc  4th qtr,1
south africa optimistic about debt talks,0
morgan stanely  unit sells floater cmos,3
mtech  to offer convertible debentures,0
canada upholds countervail duty on u.s. corn,0
february u.s. jobs gains show stronger economy,0
american stores co  4th qtr net,1
baker says g-6 pact just a start,0
treasury's baker fully expects brazil to strike deal with private creditors,0
treasury's baker forecasts reduction in japanese trade surplus this year,0
treasury's baker says there has been no change in u.s. policy on dollar,0
stone container corp hikes containerboard prices 30 dlrs a ton all grades effective april six,0
usg  sells 10-year notes at eight pct,0
fed not expected to act in money markets,0
toronto dominion to buy seat on stock exchange,0
bofors managing director resigns,0
pictel corp  increases size of offering,0
boston bancorp  sets two for one split,0
south africa optimistic about debt talks,0
baker sees brazil/banks reaching agreement,0
baker denies change in u.s. policy on dollar,0
some shipping restrictions remain on rhine,0
allure cosmetics  signs pact with motown,0
hawker siddeley offer for clarostat  ends,0
taft  given deadline on buyout proposal,0
stone container  raising prices,0
sas cuts peak-season u.s. discount air fares,0
american can  to change name,0
sound warehouse  same-store sales slip,0
ibm canada files copyright infringement suit,0
southdown  downgraded by s/p,0
3rd qtr loss,1
quebec caisse desjardins brings euroyen bond,0
santa fe southern  appeals merger ruling,0
baker sees lower japanese trade surplus,0
cineplex odeon corp year oper shr basic 1.04 dlrs vs 77 cts,0
monfort  soars on acquisition agreement,0
"triangle industries , unit affirmed by s/p",3
nordbanken to auction its fermenta shares,0
vancouver exchange february volume rises,0
computer factory  share offering starts,0
quebec caisse desjardins brings euroyen bond,0
p.s. indiana  bonds upgraded by s/p,0
american west  has lower load factor,0
united industrial corp  4th qtr loss,1
year net,0
mine safety appliances  to sell unit,3
equimark  partners to be dissolved,0
german securities purchases set record in january,0
prospect group inc  4th qtr loss,1
france fund inc  sets initial dividend,0
3com  files for one mln shr offering,2
heineken n.v.  1986 year,0
national security insurance co  4th qtr,1
"baker , hughes  still on s/p watch",0
wilson foods  share offering starts,0
rollins environmental  share offer starts,0
cyprus minerals  named in suits,0
donaldson  to buy mine safety  unit,3
philip crosby  probes possible embezzling,0
arundel corp  4th qtr net,1
r.j. reynolds to redeem 1.2 billion dlrs of 11.20 pct notes,0
meridian  licenses parasite test kit,0
gulf states utilities  gets qualified audit,0
"fed sets one billion dlr customer repurchase, fed says",0
genentech  files suit against fda,0
france sets price for rhone-poulenc issue,0
midmississippi river opens today for season,0
fieldcrest cannon  to sell convertible debt,0
fed sets one billion dlr customer repo,0
residential mortgage  sells cmos,0
duff/phelps downgrades usx corp  debt,0
german cash in circulation up at february's close,0
sun electric corp  1st qtr jan 31 net,1
